,Company,Ticker,IPO,First Value,Last Value,Last Date,How Much
0,1-800-FLOWERS.COM CL A,FLWS,1999-08-01 00:00:00-04:00,18.8125,9.170000076293945,2023-05-01 00:00:00-04:00,-51.25581354793917
1,1LIFE HEALTHCARE,ONEM,*******,*******,*******,*******,*******
2,1ST SOURCE,SRCE,1984-11-01 00:00:00-05:00,0.0,41.560001373291016,2023-05-01 00:00:00-04:00,inf
3,1STDIBS.COM,DIBS,2021-06-01 00:00:00-04:00,31.459999084472656,3.819999933242798,2023-05-05 00:00:00-04:00,-87.85759680734323
4,22ND CENTURY GROUP INC.,XXII,2011-01-01 00:00:00-05:00,1.2799999713897705,0.7580000162124634,2023-04-01 00:00:00-04:00,-40.78124740975903
5,23ANDME HOLDING CO,ME,2020-11-01 00:00:00-04:00,10.670000076293945,1.9500000476837158,2023-05-01 00:00:00-04:00,-81.72446078968522
6,2SEVENTY BIO,TSVT,2021-11-01 00:00:00-04:00,26.170000076293945,9.550000190734863,2023-05-01 00:00:00-04:00,-63.50783277457567
7,2U,TWOU,2014-03-01 00:00:00-05:00,13.649999618530273,3.6700000762939453,2023-05-05 00:00:00-04:00,-73.11355180324098
8,3-D SYSTEMS,DDD,1988-03-01 00:00:00-05:00,0.0,8.9399995803833,2023-05-05 00:00:00-04:00,inf
9,4D MOLECULAR THERAPEUTICS,FDMT,2020-12-01 00:00:00-05:00,41.65999984741211,16.100000381469727,2023-05-05 00:00:00-04:00,-61.35381555343466
10,5E ADVANCED MATERIALS INC,FEAM,2022-03-01 00:00:00-05:00,19.0,4.75,2023-05-05 00:00:00-04:00,-75.0
11,8X8,EGHT,1997-07-01 00:00:00-04:00,9.375,4.159999847412109,2023-04-01 00:00:00-04:00,-55.62666829427083
12,908 DEVICES,MASS,2020-12-01 00:00:00-05:00,55.209999084472656,7.210000038146973,2023-05-05 00:00:00-04:00,-86.94077131369718
13,A K A BRANDS HOLDING,AKA,2021-09-01 00:00:00-04:00,8.529999732971191,0.33000001311302185,2023-05-05 00:00:00-04:00,-96.13130101472963
14,A10 NETWORKS,ATEN,2014-03-01 00:00:00-05:00,14.788348248657483,14.09000015258789,2023-05-05 00:00:00-04:00,-4.722285980335836
15,AADI BIOSCIENCE INC,AADI,2018-02-01 00:00:00-05:00,73.5,7.760000228881836,2023-05-01 00:00:00-04:00,-89.44217655934445
16,AAON INC,AAON,1992-12-01 00:00:00-05:00,0.11634772484128086,99.4000015258789,2023-05-05 00:00:00-04:00,85333.55846577861
17,AAR CORP,AIR,1984-12-01 00:00:00-05:00,3.2444606946392933,52.380001068115234,2023-05-05 00:00:00-04:00,1514.4440015766208
18,ABCELLERA BIOLOGICS,ABCL,2020-12-01 00:00:00-05:00,40.0,6.409999847412109,2023-05-05 00:00:00-04:00,-83.97500038146973
19,ABERCROMBIE & FITCH A,ANF,1996-09-01 00:00:00-04:00,8.225458203529826,22.239999771118164,2023-05-05 00:00:00-04:00,170.38007149041522
20,ABM INDUSTRIES INC,ABM,1984-12-01 00:00:00-05:00,0.9442598551511765,42.56999969482422,2023-05-05 00:00:00-04:00,4408.292866904602
21,ABSCI,ABSI,2021-07-01 00:00:00-04:00,28.760000228881836,1.7899999618530273,2023-04-01 00:00:00-04:00,-93.77607806812378
22,ACADEMY SPORTS AND OUTDOORS,ASO,2020-10-01 00:00:00-04:00,14.860750642807698,65.56999969482422,2023-04-01 00:00:00-04:00,341.2293919120348
23,ACADIA PHARMACEUTICALS,ACAD,2004-05-01 00:00:00-04:00,6.590000152587891,21.18000030517578,2023-05-01 00:00:00-04:00,221.3960518173646
24,ACADIA REALTY,AKR,1993-05-01 00:00:00-04:00,3.9132475852966313,13.449999809265137,2023-05-01 00:00:00-04:00,243.70428949605042
25,ACCEL ENTERTAINMENT (A),ACEL,2017-08-01 00:00:00-04:00,9.75,8.84000015258789,2023-05-01 00:00:00-04:00,-9.333331768329327
26,ACCO BRANDS,ACCO,2005-08-01 00:00:00-04:00,21.613967499969867,4.590000152587891,2023-05-01 00:00:00-04:00,-78.76373158887053
27,ACCOLADE,ACCD,2020-07-01 00:00:00-04:00,0.550000011920929,14.25,2023-04-01 00:00:00-04:00,2490.90903475265
28,ACCRETIVE HEALTH,RCM,2017-03-01 00:00:00-05:00,3.0999999046325684,15.710000038146973,2023-05-05 00:00:00-04:00,406.77421036917815
29,ACI WORLDWIDE,ACIW,1995-02-01 00:00:00-05:00,2.9791669845581055,25.239999771118164,2023-05-01 00:00:00-04:00,747.2166851319336
